,symbol,trades,Name,sector,industry,Qtype,price,Day_pcnt_change,bid,ask,bidsize,asksize,marketCap,ADV_3months,ADV_10days,beta,NextEarningsDate,SharesOutstanding,FloatShares,HeldInsidersPercent,HeldInstitutionsPercent,SharesShort,ShortRatio,ShortPercentFloat,PE_TTM,PEGRatio,PriceToSales,PriceToBookRatio,Unnamed: 27,ROE,DtoEq,PayoutRatio,price_lvl,ADV_3months_lvl,marketCap_lvl
14,AAL,40612,American Airlines Group Inc.,Industrials,Airlines,EQUITY,17.77,3.3740542000000002,17.8,17.84,21500,4000,11043699712.0,81989947.0,55285066.0,1.833511,,621480000.0,615227438,0.00934,0.45415002,152632087,2.58,0.32970002,53.556521999999994,0.05,0.63700175,0,,0,0,0,15.61,6831108.0,2366883.0
15,ZM,39126,"Zoom Video Communications, Inc.",Communication Services,Telecom Services,EQUITY,410.81,-2.0925186,0.0,0.0,29200,800,120000000000.0,7783147.0,4483883.0,0,3/1/21,204598000.0,197793897,0.010290001,0.57138,6916760,1,0.0339,53.556521999999994,1.01,61.26863,78.32412,,0.37585,4.692,0,175.005,6831108.0,6831108.0
16,BA,39089,The Boeing Company,Industrials,Aerospace & Defense,EQUITY,211.95,1.933345,211.8,211.97,1000,4000,124000000000.0,19355885.0,12924385.0,1.6254,,564529984.0,551480050,0.00118,0.52891,10953231,0.77,0.0188,53.556521999999994,-285.82,2.124664,0,,0,0,0,175.005,6831108.0,6831108.0
17,SNDL,35787,Sundial Growers Inc.,Healthcare,Drug ManufacturersÑSpecialty & Generic,EQUITY,1.28,13.274334,0.0,0.0,317000,312700,1930137600.0,435170300.0,1042296157.0,0,11/12/20,1507920000.0,435760710,0.016280001,0.030840002,66053814,0.21,0.061100002,53.556521999999994,0,0,0,,-1.4562399,160.935,0,0.67,6831108.0,509925.50000000006
18,MRNA,35690,"Moderna, Inc.",Healthcare,Biotechnology,EQUITY,185.98,5.526549,185.35,185.9,1200,2200,73594150912.0,25232037.0,22478557.0,1.50208,2/25/21,395710016.0,324229032,0.10005,0.52056,24795345,1.06,0.081599995,53.556521999999994,-4.81,298.30832,26.6447,,-0.29806998,7.692,0,175.005,6831108.0,6831108.0
19,PFE,35121,Pfizer Inc.,Healthcare,Drug ManufacturersÑGeneral,EQUITY,34.82,-0.2863645,0.0,0.0,2200,3000,194000000000.0,49047316.0,47723285.0,0.627534,,5558400000.0,5549280829,0.00046,0.69904,65477974,1.76,0.0118,53.556521999999994,3.04,4.6182947,2.9649181,,0.1089,96.416,1.2258,31.96,6831108.0,6831108.0
20,T,34610,AT&T Inc.,Communication Services,Telecom Services,EQUITY,28.77,-0.55305856,0.0,0.0,1800,27000,205000000000.0,42996785.0,52044142.0,0.734791,,7126000128.0,7116593680,0.00077,0.53534,133167972,2.83,0.0187,53.556521999999994,6.38,1.1936134,1.2680713,,-0.02005,100.115,0,21.47000000000001,6831108.0,6831108.0
21,GOOGL,32831,Alphabet Inc.,Communication Services,Internet Content & Information,EQUITY,2084.52,-0.2063384,2082.01,2083.99,1000,1000,1410000000000.0,1688720.0,2645357.0,0.989861,,300644000.0,607451066,0.00122,0.80246,2455331,1.61,0.0082,53.556521999999994,1.59,7.715295,6.3246617,,0.18995,12.524,0,175.005,1286014.0,6831108.0
22,NVDA,31972,NVIDIA Corporation,Technology,Semiconductors,EQUITY,577.55,6.237579,0.0,0.0,900,800,358000000000.0,7664735.0,6154771.0,1.415688,2/24/21,619000000.0,593373400,0.04183,0.68434,7451193,1.03,0.0126,53.556521999999994,2.5,24.193235,23.314629,,0.28823,50.091,0.1046,175.005,6831108.0,6831108.0
24,AMD,30978,"Advanced Micro Devices, Inc.",Technology,Semiconductors,EQUITY,91.47,4.061433,91.65,91.5,800,1200,111000000000.0,44911877.0,52544057.0,2.199573,,1212070016.0,1203334012,0.0062,0.73875,71347086,1.72,0.059299998,53.556521999999994,1.73,11.348538,18.977179,,0.57479,9.8,0,77.30000000000001,6831108.0,6831108.0
25,BYND,28352,"Beyond Meat, Inc.",Consumer Defensive,Packaged Foods,EQUITY,169.09,0.10063828,168.35,169.08,900,1200,10594452480.0,5077219.0,10301985.0,0,,62655700.0,42984915,0.12267999,0.44209,15436611,3.84,0.2749,53.556521999999994,1.67,26.267649,27.911852,,-0.07439,16.904,0,77.30000000000001,2366883.0,2366883.0
26,NKLA,27989,Nikola Corporation,Consumer Cyclical,Auto Manufacturers,EQUITY,23.5,-0.42373043,0.0,0.0,900,900,9026068480.0,21819535.0,25443342.0,0,2/25/21,384088000.0,164312707,0.62389,0.13734001,52605905,2.77,0,53.556521999999994,-1.32,62681.03,0,,0,0.447,0,21.47000000000001,6831108.0,1286014.0
27,CCL,27696,Carnival Corporation & plc,Consumer Cyclical,Travel Services,EQUITY,21.61,1.4077952,21.53,21.56,1100,1800,24123676672.0,50431887.0,45043885.0,2.318036,,932486016.0,988419385,0.096269995,0.43707,57151594,1.63,0.084,53.556521999999994,0.12,4.31242,1.1427816,,-0.44582,138.117,0,21.47000000000001,6831108.0,2366883.0
28,SBUX,27629,Starbucks Corporation,Consumer Cyclical,Restaurants,EQUITY,106.26,-0.20661269999999998,0.0,0.0,1000,1400,125000000000.0,6337943.0,8790671.0,0.859124,4/27/21,1177299968.0,1175074903,0.00172,0.69496,11096069,2.14,0.0094,53.556521999999994,0.73,5.399149,0,,0,0,2.9473999,77.30000000000001,2366883.0,6831108.0
29,GE,27402,General Electric Company,Industrials,Specialty Industrial Machinery,EQUITY,11.61,1.8421056,11.61,11.62,45900,34100,102000000000.0,92750445.0,115375871.0,1.080576,,8759870464.0,8736853060,0.00244,0.62106,88549570,1.23,0.010199999,53.556521999999994,0.14,1.2773596,2.861015,,0.16945,202.476,0.0678,9.36,6831108.0,6831108.0
30,WMT,25949,Walmart Inc.,Consumer Defensive,Discount Stores,EQUITY,145.03,0.46411622,0.0,0.0,800,800,410000000000.0,7655259.0,7678966.0,0.482924,2/18/21,2829289984.0,1431222579,0.51069,0.3035,15011652,1.81,0.0108,53.556521999999994,3.76,0.7477671,5.0420666,,0.24134001,79.082,0.3102,77.30000000000001,6831108.0,6831108.0
31,BABA,25492,Alibaba Group Holding Limited,Consumer Cyclical,Internet Retail,EQUITY,262.59,-1.1593394,262.8,263.24,1000,900,718000000000.0,27224209.0,17251614.0,0.895944,2/2/21,2705639936.0,1853344198,0.00225,0.43861,40453463,1.16,0,53.556521999999994,47.56,0,10.58916,,0.15651,13.786,0,175.005,6831108.0,6831108.0
32,SPCE,25261,"Virgin Galactic Holdings, Inc.",Industrials,Aerospace & Defense,EQUITY,56.25,3.514906,0.0,0.0,1400,800,13181737984.0,19228212.0,47361028.0,0,2/25/21,234342000.0,132722198,0.39995998,0.29719,38600590,2.39,0.5615,53.556521999999994,0.42,17186.1,0,,-0.7018,3.194,0,47.435,6831108.0,2366883.0
33,XOM,24922,Exxon Mobil Corporation,Energy,Oil & Gas Integrated,EQUITY,52.1,4.3042994000000006,0.0,0.0,2900,1400,221000000000.0,30666578.0,30672266.0,1.378335,,4232999936.0,4223264100,0.00087,0.52204,44213065,1.51,0.0105,53.556521999999994,1.72,1.2150791,1.2417771,,-0.12124,37.267,0,47.435,6831108.0,6831108.0
34,FB,24677,"Facebook, Inc.",Communication Services,Internet Content & Information,EQUITY,266.58,-0.5669599,266.04,266.37,1000,1400,759000000000.0,19135809.0,26019628.0,1.257737,,2403970048.0,2393580501,0.00632,0.79766,20028533,1.06,0.0083,53.556521999999994,1.1,8.8307085,5.920053,,0.25417,8.712,0,175.005,6831108.0,6831108.0
37,SQ,23695,"Square, Inc.",Technology,SoftwareÑInfrastructure,EQUITY,259.97,8.149595,0.0,0.0,1300,1200,117000000000.0,9860769.0,9789314.0,2.609925,2/23/21,383806016.0,381285102,0.00971,0.77724,28990523,2.99,0.076,53.556521999999994,7.55,15.320115,56.417103,,0.18721001,129.355,0,175.005,6831108.0,6831108.0
38,SHOP,23377,Shopify Inc.,Technology,SoftwareÑApplication,EQUITY,1345.09,4.452725,0.0,0.0,1000,1300,163000000000.0,1355151.0,1240857.0,1.556029,2/17/21,110044000.0,109784211,0.00402,0.67333,1266114,0.91,0.020599999,53.556521999999994,3.1,66.43036,26.548178,,0.04366,14.619,0,175.005,1286014.0,6831108.0
40,KO,22807,The Coca-Cola Company,Consumer Defensive,BeveragesÑNon-Alcoholic,EQUITY,49.92,0.5437999,49.8,49.85,1800,1800,215000000000.0,17909327.0,16062757.0,0.624332,2/10/21,4297430016.0,3868421715,0.00699,0.68203,19948775,1.02,0.0047,53.556521999999994,11.86,6.4093604,11.528868,,0.40777,260.223,0.84459996,47.435,6831108.0,6831108.0
41,DKNG,21753,DraftKings Inc.,Consumer Cyclical,Gambling,EQUITY,61.97,-2.9747890999999997,62.79,62.95,1100,1200,24274515968.0,18615525.0,19647542.0,0,2/26/21,391713984.0,331444737,0.16118999,0.45926,17827381,1.14,0,53.556521999999994,-0.67,57.356323,0,,-0.61812,0,0,47.435,6831108.0,2366883.0
42,COST,21387,Costco Wholesale Corporation,Consumer Defensive,Discount Stores,EQUITY,359.83,1.3120402,359.4,359.99,1400,1800,159000000000.0,2439177.0,2398371.0,0.647812,3/4/21,442955008.0,441675088,0.00221,0.70038,3594437,1.5,0.0081,53.556521999999994,4.17,0.92169905,10.726145,,0.27806,66.621,0.2823,175.005,2366883.0,6831108.0
44,LUV,20685,Southwest Airlines Co.,Industrials,Airlines,EQUITY,52.24,4.3756294,52.22,52.25,4000,1100,30846361600.0,8264454.0,9108657.0,1.221451,4/22/21,590473984.0,587876000,0.00251,0.76035005,15859979,2.52,0.0342,53.556521999999994,1.55,3.409191,3.472481,,-0.32863,137.438,0,47.435,6831108.0,2366883.0
45,PLUG,19341,Plug Power Inc.,Industrials,Electrical Equipment & Parts,EQUITY,66.19,0.6385979,0.0,0.0,1400,1100,32914169856.0,45558095.0,41764871.0,1.606723,,497268000.0,397402082,0.01008,0.52568,62802396,1.16,0.1351,53.556521999999994,-6.94,107.02542,41.839443,,-0.32974997,113.555,0,47.435,6831108.0,2366883.0
48,WKHS,18906,Workhorse Group Inc.,Consumer Cyclical,Auto Manufacturers,EQUITY,39.65,-2.3639474,0.0,0.0,800,2200,4778975232.0,16700565.0,20588616.0,3.216115,11/9/20,120529000.0,112463346,0.08866999,0.33212003,33677597,2.65,0.2883,53.556521999999994,0,6427.129,0,,0,0,0,31.96,6831108.0,1286014.0
49,PLTR,18457,Palantir Technologies Inc.,Technology,SoftwareÑInfrastructure,EQUITY,36.05,5.873715,0.0,0.0,900,1000,67699376128.0,72218351.0,95440014.0,0,,496529984.0,1034600904,0.13042,0.12528,98952816,2.09,0.0675,53.556521999999994,0,67.70344,0,,0,15.798,0,31.96,6831108.0,6831108.0
51,UBER,17470,"Uber Technologies, Inc.",Technology,SoftwareÑApplication,EQUITY,59.29,1.2120161,0.0,0.0,1200,1400,110000000000.0,23704811.0,27502642.0,0,2/10/21,1851320064.0,1317146740,0.01962,0.74886,53076559,2.54,0.0359,53.556521999999994,-0.22,8.455152,11.675857,,-0.52735,98.929,0,47.435,6831108.0,6831108.0
52,AMC,17420,"AMC Entertainment Holdings, Inc.",Communication Services,Entertainment,EQUITY,6.18,-9.516839,6.08,6.08,1200,3000,2095470976.0,107743182.0,601493071.0,1.446104,,287276992.0,114941037,0.02296,0.37237,44671962,1.17,0.3812,53.556521999999994,0,0.8290358,0,,0,0,0,5.51,6831108.0,509925.50000000006
53,JNJ,17278,Johnson & Johnson,Healthcare,Drug ManufacturersÑGeneral,EQUITY,164.92,0.2858019,164.7,164.86,800,900,434000000000.0,8248020.0,13027642.0,0.717716,4/20/21,2632539904.0,2629831153,0.00081,0.69792,13455557,1.78,0.0051,53.556521999999994,3.21,5.257174,6.7330775,,0.23743,58.564,0.72230005,77.30000000000001,6831108.0,6831108.0
54,FCEL,16410,"FuelCell Energy, Inc.",Industrials,Electrical Equipment & Parts,EQUITY,26.39,10.326084,26.98,26.9,1800,1000,8508452352.0,72719808.0,51953071.0,5.33191,,322412000.0,291173809,0.03824,0.32192,40423652,0.58,0.1254,53.556521999999994,-6.21,120.05549,39.984844,,-0.45626,76.773,0,21.47000000000001,6831108.0,1286014.0
55,GNUS,16382,"Genius Brands International, Inc.",Communication Services,Entertainment,EQUITY,2.1,11.702123,2.1,2.13,38500,45100,628941568.0,30823540.0,89688142.0,2.048559,3/20/20,299496000.0,234187170,0.05677,0.06093,28430418,1.61,0.1173,53.556521999999994,0,327.04263,7.2916665,,-10.94455,6.528,0,0.67,6831108.0,214462.99999999997
56,INO,16355,"Inovio Pharmaceuticals, Inc.",Healthcare,Biotechnology,EQUITY,13.87,8.063887,13.92,14.14,2900,1400,2837122560.0,15022809.0,40434071.0,0.996264,11/9/20,204551008.0,166651001,0.021659998,0.36486,56066088,5.69,0.3056,53.556521999999994,0,1344.527,7.175375,,-1.0068,23.032,0,12.1,6831108.0,809898.5
57,HEXO,16285,HEXO Corp.,Healthcare,Drug ManufacturersÑSpecialty & Generic,EQUITY,8.67,11.1538,8.61,8.74,1400,800,1053448384.0,7671922.0,7481942.0,2.26798, ,122163000.0,115807821,0.0521,0.09927,8663181,1.12,0,53.556521999999994,0,0,0,,-0.75741994,15.723,0,5.51,6831108.0,341792.0
58,NCLH,15912,Norwegian Cruise Line Holdings Ltd.,Consumer Cyclical,Travel Services,EQUITY,25.01,1.17314,0.0,0.0,1800,4000,7894056448.0,23011914.0,16938614.0,2.870864,,315636000.0,274299197,0.00688,0.46283,44739470,2.6,0.1539,53.556521999999994,0.06,2.8695776,1.6863327,,-0.60848,272.951,0,21.47000000000001,6831108.0,1286014.0
61,PYPL,15394,"PayPal Holdings, Inc.",Financial Services,Credit Services,EQUITY,282.17,4.724618,0.0,0.0,800,3200,330000000000.0,8852606.0,8734385.0,1.143009,,1171180032.0,1169782061,0.00105,0.85537004,13168513,1.86,0.0113,53.556521999999994,2.33,15.403743,16.519526,,0.22718,48.472,0,175.005,6831108.0,6831108.0
62,BAC,15129,Bank of America Corporation,Financial Services,BanksÑDiversified,EQUITY,33.09,2.2242856,33.07,33.08,3100,36100,286000000000.0,55394369.0,51136571.0,1.53842,4/15/21,8650789888.0,8625121187,0.00102,0.71102,81307601,1.57,0.0106,53.556521999999994,12.04,3.8574724,1.1523193,,0.06655,0,0.385,31.96,6831108.0,6831108.0
63,CGC,14750,Canopy Growth Corporation,Healthcare,Drug ManufacturersÑSpecialty & Generic,EQUITY,43.87,2.1896076,43.76,43.77,800,900,16306215936.0,6998190.0,7836057.0,2.226562, ,373728000.0,226817912,0.39051,0.12511,31913993,5.26,0.3515,53.556521999999994,0,0,8.300852,,-0.30827,13.127,0,31.96,6831108.0,2366883.0
64,TGT,14265,Target Corporation,Consumer Defensive,Discount Stores,EQUITY,193.95,2.6951162999999996,0.0,0.0,800,800,97124917248.0,4079041.0,3858285.0,0.996264,3/2/21,500772992.0,499270822,0.00211,0.82593,6662862,1.76,0.013300001,53.556521999999994,1.48,1.0959582,7.2919016,,0.30735,112.801,0.35279998,175.005,2366883.0,6831108.0
65,BNGO,14130,"Bionano Genomics, Inc.",Healthcare,Diagnostics & Research,EQUITY,11.65,5.4298589999999995,11.78,11.82,4000,1100,3166819584.0,77420445.0,69638514.0,2.368635,11/12/20,271830016.0,151618907,0.00057,0.056350004,25470753,0.15,0.106800005,53.556521999999994,0,433.66193,117.676765,,-10.21642,109.117,0,9.36,6831108.0,809898.5
66,V,13792,Visa Inc.,Financial Services,Credit Services,EQUITY,206.89,-0.9005148999999999,0.0,0.0,900,800,456000000000.0,8868769.0,14209242.0,0.97652,,1696109952.0,1549311477,0.0011,0.96023005,31595470,3.96,0.0186,53.556521999999994,2.71,21.237553,13.008677,,0.29389998,55.88,0.2515,175.005,6831108.0,6831108.0
67,NKE,13767,"NIKE, Inc.",Consumer Cyclical,Footwear & Accessories,EQUITY,143.41,-1.1715229999999999,0.0,0.0,900,800,226000000000.0,5588574.0,6290928.0,0.863393,,1271480064.0,1254791459,0.00309,0.8393,13329338,2.27,0.0138,53.556521999999994,1.38,5.9100866,21.227058,,0.28273,120.348,0.57060003,77.30000000000001,2366883.0,6831108.0
68,WORK,13587,"Slack Technologies, Inc.",Technology,SoftwareÑApplication,EQUITY,43.24,0.0,0.0,0.0,4000,1400,25083482112.0,20459796.0,7716433.0,0,,494291008.0,466895643,0.01253,0.85732,41509894,3.72,0.1157,53.556521999999994,0,30.079184,32.43811,,-0.36973998,103.178,0,31.96,6831108.0,2366883.0
69,MMM,13551,3M Company,Industrials,Specialty Industrial Machinery,EQUITY,180.76,0.9775990999999999,180.79,180.8,900,1000,105000000000.0,2837987.0,4340428.0,0.949839,,577750016.0,578515109,0.00189,0.66533,8139533,3.19,0.014099999,53.556521999999994,2.52,3.2524893,8.1163845,,0.46736,152.927,0.6357,175.005,2366883.0,6831108.0
70,UAL,13456,"United Airlines Holdings, Inc.",Industrials,Airlines,EQUITY,44.35,5.244421,0.0,0.0,900,2200,13830325248.0,17986798.0,17364542.0,1.6254,,311844992.0,311046908,0.00228,0.62117,13514860,1.03,0.0494,53.556521999999994,0.17,0.900705,2.3205316,,-0.8083,568.641,0,31.96,6831108.0,2366883.0
71,JPM,13111,JPMorgan Chase & Co.,Financial Services,BanksÑDiversified,EQUITY,140.14,1.5654469,139.73,139.79,900,1200,427000000000.0,15078383.0,13573500.0,1.187833,4/14/21,3049400064.0,3022443304,0.00854,0.71933,25926892,1.67,0.0086,53.556521999999994,10.11,4.1870503,1.7142298,,0.10776,0,0.4054,77.30000000000001,6831108.0,6831108.0
72,INTC,12833,Intel Corporation,Technology,Semiconductors,EQUITY,59.16,1.6844269,59.2,59.34,4000,900,240000000000.0,40976891.0,40016485.0,0.667022,,4097999872.0,4059627710,0.00049,0.66406,52785556,1.18,0.012999999,53.556521999999994,2.28,3.0868928,2.9654133,,0.26364002,45.569,0.2672,47.435,6831108.0,6831108.0
73,ROKU,12744,"Roku, Inc.",Communication Services,Entertainment,EQUITY,434.63,-1.1957556999999999,0.0,0.0,1000,800,55168020480.0,5321174.0,4089100.0,1.910666,2/18/21,105891000.0,108692689,0.00234,0.73954004,4456160,0.86,0.040999997,53.556521999999994,18.9,35.829624,45.33535,,-0.11967,36.104,0,175.005,2366883.0,6831108.0
74,SOLO,12435,Electrameccanica Vehicles Corp., , ,EQUITY,8.53,-1.8411951000000002,0.0,0.0, , ,671397120.0,25073303.0,18599885.0, , ,78710096.0, , , , , , ,53.556521999999994, , , ,, , , ,5.51,6831108.0,341792.0
76,ABBV,12047,AbbVie Inc.,Healthcare,Drug ManufacturersÑGeneral,EQUITY,106.84,-1.7382572,106.55,106.83,800,800,189000000000.0,7858980.0,9301550.0,0.80683,,1765469952.0,1741887191,0.001,0.70001,12594868,1.75,0.0071,53.556521999999994,0.98,4.118042,12.351445,,1.2988601,569.684,1.8053,77.30000000000001,6831108.0,6831108.0
77,SRNE,11873,"Sorrento Therapeutics, Inc.",Healthcare,Biotechnology,EQUITY,16.51,18.266478,0.0,0.0,1400,1100,4518803456.0,18548775.0,39499742.0,2.377267,5/11/20,273700992.0,198527165,0.15709,0.27975,70471296,4.59,0.26209998,53.556521999999994,0.14,108.84749,20.433168,,-4.08954,153.431,0,15.61,6831108.0,1286014.0
78,PINS,11843,"Pinterest, Inc.",Communication Services,Internet Content & Information,EQUITY,79.81,-2.6232328,0.0,0.0,800,800,50161782784.0,10843020.0,12920628.0,0,,532423008.0,492730335,0.00589,0.72521,13181680,1.44,0.025899999,53.556521999999994,0.46,29.634918,22.293297,,-0.060159996,8.159,0,77.30000000000001,6831108.0,6831108.0
79,TLRY,11791,"Tilray, Inc.",Healthcare,Drug ManufacturersÑSpecialty & Generic,EQUITY,30.09,16.990671,0.0,0.0,2900,800,4346771456.0,29682590.0,33869628.0,2.829556,11/9/20,144459008.0,95221624,0.16816999,0.16209,34365556,1.07,0.2284,53.556521999999994,1.99,23.739359,21.477516,,-1.6175901,277.708,0,21.47000000000001,6831108.0,809898.5
80,TDOC,11683,"Teladoc Health, Inc.",Healthcare,Health Information Services,EQUITY,294.54,3.3364943999999994,0.0,0.0,1000,1100,42696810496.0,3507570.0,4112571.0,0.145144,,144960992.0,127864077,0.062069997,0.61348,15228342,5.04,0.10569999,53.556521999999994,191.57,49.239227,11.1369915,,-0.06835,45.476,0,175.005,2366883.0,6831108.0
81,WFC,11482,Wells Fargo & Company,Financial Services,BanksÑDiversified,EQUITY,33.4,2.579853,0.0,0.0,3100,800,138000000000.0,38451400.0,28793066.0,1.267342,4/14/21,4144009984.0,4137629765,0.0012,0.69475,46388895,1.15,0.0112,53.556521999999994,-3.12,2.3777282,0.8407592,,0.01918,0,2.9756,31.96,6831108.0,6831108.0
82,SNAP,11312,Snap Inc.,Communication Services,Internet Content & Information,EQUITY,63.78,0.21998647,0.0,0.0,800,800,96199376896.0,21664841.0,18960928.0,1.28136,,1252989952.0,1093028324,0.24168,0.61619,65422414,3.43,0.0614,53.556521999999994,3.37,38.378033,41.148388,,-0.41169998,85.99,0,47.435,6831108.0,6831108.0
84,VZ,11179,Verizon Communications Inc.,Communication Services,Telecom Services,EQUITY,55.05,-0.48807025,0.0,0.0,1300,2200,228000000000.0,16939400.0,17747433.0,0.472251,4/21/21,4137999872.0,4135268920,0.00029,0.66315,39694938,2.25,0.0096,53.556521999999994,4.15,1.7756126,3.3577309,,0.27777,217.327,0.5779,47.435,6831108.0,6831108.0
85,CRON,11002,Cronos Group Inc.,Healthcare,Drug ManufacturersÑSpecialty & Generic,EQUITY,12.82,6.744375,12.82,12.9,2900,4000,4538638848.0,6576729.0,5399528.0,1.990234, ,356187008.0,189705782,0.49218,0.14603,28362370,5.35,0.1516,53.556521999999994,0,122.728935,2.5810347,,0.05816,0.56,0,12.1,2366883.0,1286014.0
86,VXRT,10543,"Vaxart, Inc.",Healthcare,Biotechnology,EQUITY,9.51,23.5065,0.0,0.0,4000,1300,1041050240.0,16666740.0,69751350.0,0.277777,11/12/20,109469000.0,97969232,0.00648,0.38211,33243895,4.85,0.398,53.556521999999994,0,136.87224,7.905237,,-0.32897,2.074,0,9.36,6831108.0,341792.0
87,APHA,10525,Aphria Inc.,Healthcare,Drug ManufacturersÑSpecialty & Generic,EQUITY,18.98,13.857223999999999,19.28,19.07,1300,3100,5983710720.0,15385943.0,17636042.0,2.519531, ,316745984.0,312567697,0.00014,0.1382,21037655,1.29,0,53.556521999999994,0,0,3.5509822,,-0.118219994,28.122,0,15.61,6831108.0,1286014.0
88,NOK,10517,Nokia Corporation,Technology,Communication Equipment,EQUITY,4.26,0.94787776,0.0,0.0,2200,45100,24131026944.0,78285435.0,456643985.0,0.500531,,5617059840.0,4756727393,8.00E-05,0.047069997,59550824,2.09,0,53.556521999999994,1.45,0,1.3658224,,-0.1727,51.33,0,2.65,6831108.0,2366883.0
89,CRM,10275,"salesforce.com, inc.",Technology,SoftwareÑApplication,EQUITY,238.93,0.016741298,238.68,238.89,900,1100,219000000000.0,9579203.0,6773828.0,1.121664,2/25/21,917734976.0,881748900,0.03615,0.83468,24115577,2.92,0.0305,53.556521999999994,2.72,10.809139,5.417545,,0.09667,15.438,0,175.005,6831108.0,6831108.0
90,MVIS,10245,"MicroVision, Inc.",Technology,Scientific & Technical Instruments,EQUITY,14.72,27.55633,0.0,0.0,1100,2200,2227224320.0,14930241.0,13707842.0,3.628601,10/29/20,151306000.0,145694377,0.00925,0.09001,23973527,0.8,0.1593,53.556521999999994,-7.63,305.0992,0,,0,0,0,12.1,6831108.0,509925.50000000006
